project_short_name,case_barcode,sample_barcode,aliquot_barcode,HGNC_gene_symbol,gene_id,normalized_count,original_gene_symbol,platform
TCGA-KIRP,TCGA-G7-A8LE,TCGA-G7-A8LE-01A,TCGA-G7-A8LE-01A-11R-A36F-07,CDH20,28316,1.4094,CDH20,IlluminaHiSeq
TCGA-KIRP,TCGA-BQ-5880,TCGA-BQ-5880-01A,TCGA-BQ-5880-01A-11R-1592-07,PLAC8,51316,35.6877,PLAC8,IlluminaHiSeq
TCGA-KIRP,TCGA-UZ-A9PP,TCGA-UZ-A9PP-01A,TCGA-UZ-A9PP-01A-11R-A42S-07,NAA15,80155,504.5224,NAA15,IlluminaHiSeq
TCGA-KIRP,TCGA-UZ-A9PU,TCGA-UZ-A9PU-01A,TCGA-UZ-A9PU-01A-11R-A42S-07,C21orf91,54149,183.2947,C21orf91,IlluminaHiSeq
TCGA-KIRP,TCGA-B1-A47M,TCGA-B1-A47M-01A,TCGA-B1-A47M-01A-11R-A24Z-07,FNBP4,23360,777.6224,FNBP4,IlluminaHiSeq
TCGA-KIRP,TCGA-SX-A71R,TCGA-SX-A71R-01A,TCGA-SX-A71R-01A-12R-A33Z-07,ARMC10,83787,507.5538,ARMC10,IlluminaHiSeq
TCGA-KIRP,TCGA-4A-A93Y,TCGA-4A-A93Y-01A,TCGA-4A-A93Y-01A-11R-A37K-07,C19orf12,83636,617.2782,C19orf12,IlluminaHiSeq
TCGA-KIRP,TCGA-GL-8500,TCGA-GL-8500-01A,TCGA-GL-8500-01A-11R-2404-07,ASPN,54829,14.102,ASPN,IlluminaHiSeq
TCGA-KIRP,TCGA-DW-7840,TCGA-DW-7840-01A,TCGA-DW-7840-01A-11R-A32Z-07,SART3,9733,1440.689,SART3,IlluminaHiSeq
TCGA-KIRP,TCGA-AL-3466,TCGA-AL-3466-01A,TCGA-AL-3466-01A-02R-1351-07,THAP1,55145,238.2924,THAP1,IlluminaHiSeq
TCGA-KIRP,TCGA-DW-7837,TCGA-DW-7837-01A,TCGA-DW-7837-01A-11R-2139-07,KCND1,3750,37.1991,KCND1,IlluminaHiSeq
